chr start end symbol
1 33772366 33786699 A3GALT2
1 12776112 12788727 AADACL3
1 12704103 12727087 AADACL4
1 94458389 94586704 ABCA4
1 229652328 229694454 ABCB10
1 94883932 94944260 ABCD3
1 94883944 94984219 ABCD3*
1 179068464 179198812 ABL2
1 179068464 179112211 ABL2*
1 179079715 179198819 ABL2**
1 76190031 76229363 ACADM
1 76190393 76229363 ACADM*
1 1227770 1243310 ACAP3
1 226332379 226374442 ACBD3
1 226335703 226342678 ACBD3-AS1
1 180257364 180471712 ACBD6
1 159174664 159176290 ACKR1
1 55013900 55076002 ACOT11
1 55013900 55104865 ACOT11*
1 6324331 6418989 ACOT7
1 6324331 6445828 ACOT7*
1 6324331 6420774 ACOT7**
1 6324331 6453827 ACOT7***
1 147119169 147142646 ACP6
1 147114028 147142646 ACP6*
1 229566992 229569841 ACTA1
1 27650364 27653016 ACTG1P20
1 202830881 202844369 ACTG1P25
1 104112025 104114008 ACTG1P4
1 18081827 18153558 ACTL8
1 236849753 236927927 ACTN2
1 236849798 236927927 ACTN2*
1 2938030 2939467 ACTRT2
1 155023791 155035251 ADAM15
1 155023791 155031159 ADAM15*
1 120436155 120439138 ADAM30
1 161159514 161168844 ADAMTS4
1 161154091 161168844 ADAMTS4*
1 150521883 150533412 ADAMTSL4
1 150521883 150533409 ADAMTSL4*
1 150521883 150531224 ADAMTSL4**
1 150533370 150547028 ADAMTSL4-AS1
1 154554533 154581273 ADAR
1 154554533 154580662 ADAR*
1 154554533 154600473 ADAR**
1 154554533 154578729 ADAR***
1 154554533 154600447 ADAR****
1 167778622 167883372 ADCY10
1 32192717 32229941 ADGRB2
1 82268137 82459616 ADGRL2
1 82165454 82459616 ADGRL2*
1 82266081 82459616 ADGRL2**
1 81771876 82459616 ADGRL2***
1 81772079 82459616 ADGRL2****
1 82266618 82459616 ADGRL2*****
1 82266060 82459616 ADGRL2******
1 81771943 82459616 ADGRL2*******
1 79355448 79472415 ADGRL4
1 202909959 202927440 ADIPOR1
1 202909952 202927112 ADIPOR1*
1 202909952 202927700 ADIPOR1**
1 202909952 202927524 ADIPOR1***
1 203096853 203136533 ADORA1
1 112042050 112046255 ADORA3
1 36554492 36559533 ADPRS
1 244571795 244615211 ADSS2
1 244571793 244615362 ADSS2*
1 48998525 50489626 AGBL4
1 49723082 49734966 AGBL4-AS1
1 49839872 49937757 AGBL4-IT1
1 100316530 100389579 AGL
1 100316044 100389579 AGL*
1 100315916 100389576 AGL**
1 15898193 15911546 AGMAT
1 36335408 36389899 AGO1
1 36348809 36396132 AGO1*
1 36348795 36389899 AGO1**
1 36396705 36538100 AGO3
1 36273616 36323490 AGO4
1 36273236 36323490 AGO4*
1 955499 991494 AGRN
1 969372 991494 AGRN*
1 230838269 230849868 AGT
1 230838269 230881329 AGT*
1 11796141 11810828 AGTRAP
1 11796192 11810826 AGTRAP*
1 247002399 247095250 AHCTF1
1 247002399 247094660 AHCTF1*
1 110527386 110566364 AHCYL1
1 110546569 110566364 AHCYL1*
1 110543548 110566364 AHCYL1**
1 27860755 27930005 AHDC1
1 27860755 27930655 AHDC1*
1 222841354 222885833 AIDA
1 159032273 159046556 AIM2
1 159032273 159046691 AIM2*
1 4714668 4837855 AJAP1
1 4714668 4852582 AJAP1*
1 33473540 33502484 AK2
1 33478644 33502512 AK2*
1 33476825 33502512 AK2**
1 33473586 33502484 AK2***
1 65613512 65697828 AK4
1 65614676 65697828 AK4*
1 65613231 65697828 AK4**
1 65613885 65697828 AK4***
1 77747703 78025651 AK5
1 77748771 78025651 AK5*
1 39456915 39471737 AKIRIN1
1 39456947 39471731 AKIRIN1*
1 109358524 109400866 AKNAD1
1 109358524 109399716 AKNAD1*
1 46016454 46035723 AKR1A1
1 46016497 46035721 AKR1A1*
1 19629201 19638640 AKR7A2
1 19630460 19638638 AKR7A2*
1 113465971 113467295 AKR7A2P1
1 19609066 19615264 AKR7A3
1 19592475 19600616 AKR7L
1 243663025 244014381 AKT3
1 243651534 244006584 AKT3*
1 243663025 244013545 AKT3**
1 243663020 244006886 AKT3***
1 19197923 19229049 ALDH4A1
1 19197923 19229293 ALDH4A1*
1 19197923 19217385 ALDH4A1**
1 165631448 165667900 ALDH9A1
1 165631452 165667799 ALDH9A1*
1 95439960 95538507 ALG14
1 95527151 95533101 ALG14-AS1
1 63833297 63904223 ALG6
1 21835915 21904903 ALPL
